DATE;CE12_CUTIND12;CNI12_INDE12;CNI12_INDEE12;CNI12_INDEP12;CNI12_INDP12;CNI12_INDTE12;CNI12_INDTP12;CNI12_NUCAP12;CNI12_NUCAPD12;ONS12_CONV12;ONS12_HIDR12;ACSP12_SCPCC12;ACSP12_TELCH12;CNI12_VENREA12;CNI12_VENRED12;BM12_CCA12;BM12_CCAPF12;BM12_CCAPJ12;BM12_CIN12;BM12_CINPF12;BM12_CINPJ12;BM12_CPCA12;BM12_CPCAPF12;BM12_CPCAPJ12;BM12_CPCO12;BM12_CPCOPF12;BM12_CPCOPJ12;BM12_CRDCAPF12;BM12_CRDCAPJ12;BM12_CRDIN12;BM12_CRDINPF12;BM12_CRDPCA12;BM12_CRDPCAPF12;BM12_CRDPCAPJ12;BM12_CRDPCOPF12;BM12_CRDPCOPJ12;BM12_CRDSD12;BM12_CRDSDPF12;BM12_CRDSDPJ12;BM12_CRDSPF12;BM12_CRDSPJ12;BM12_CRDTJPF12;BM12_CRDTJPJ12;BM12_CRLCA12;BM12_CRLCAPF12;BM12_CRLCAPJ12;BM12_CRLIN12;BM12_CRLINPF12;BM12_CRLINPJ12;BM12_CRLPCA12;BM12_CRLPCAPF12;BM12_CRLPCAPJ12;BM12_CRLPCO12;BM12_CRLPCOPF12;BM12_CRLPCOPJ12;BM12_CRLSD12;BM12_CRLSDPJ12;BM12_CRLSPF12;BM12_CRLSPJ12;BM12_CRLTJ12;BM12_CRLTJPF12;BM12_CRLTJPJ12;BM12_CS12;BM12_CSD12;BM12_CSDPF12;BM12_CSDPJ12;BM12_CSPF12;BM12_CSPJ12;BM12_CTJ12;BM12_CTJPF12;BM12_CTJPJ12;SECEX12_XGASOL12;BM12_BTNFBC12;BM12_DEXEEN12;BM12_DEXEEY12;BM12_DEXEMN12;BM12_DEXEMY12;BM12_DEXGFN12;BM12_DEXGFY12;BM12_DEXSPN12;BM12_DEXSPY12;BM12_DIFISPN12;BM12_DIFISPY12;BM12_DINEEN12;BM12_DINEEY12;BM12_DINEMY12;BM12_DINGFN12;BM12_DINGFY12;BM12_DINSPY12;BM12_DTEEN12;BM12_DTEEY12;BM12_DTEMN12;BM12_DTEMY12;BM12_DTGFN12;BM12_DTGFY12;BM12_DTSPN12;BM12_DTSPY12;BM12_LFTFBC12;BM12_LTNFBC12;BM12_NFEEJNNAS12;BM12_NFEEJNNS12;BM12_NFEEJNYS12;BM12_NFEENNAS12;BM12_NFEENNS12;BM12_NFEENYS12;BM12_NFEEPNAS12;BM12_NFEEPNS12;BM12_NFEEPYS12;BM12_NFEMJNNAS12;BM12_NFEMJNNS12;BM12_NFEMJNYS12;BM12_NFEMNNAS12;BM12_NFEMNNS12;BM12_NFEMNYS12;BM12_NFEMPNAS12;BM12_NFEMPYS12;BM12_NFGFJNNAS12;BM12_NFGFJNNS12;BM12_NFGFJNYS12;BM12_NFGFNNAS12;BM12_NFGFNNS12;BM12_NFGFNYS12;BM12_NFGFPNS12;BM12_NFGFPYS12;BM12_NFSPJNNAS12;BM12_NFSPJNNS12;BM12_NFSPJNYS12;BM12_NFSPNNAS12;BM12_NFSPNNS12;BM12_NFSPNYS12;BM12_NFSPPNAS12;BM12_NFSPPNS12;BM12_NFSPPYS12;BM12_NTNFBC12;BM12_TPFERMA12;BM12_TPFMA12;BM12_TPFOVERMA12;BM12_TPFPREMA12;BM12_TPFTRMA12;FNDE12_SALEDU12;MPAS12_ARRBT12;MPAS12_ARRLIQ12;MPAS12_BENPREV12;MPAS12_RESPRGPS12;BM12_PIBAC12;GAC12_CAALIM12;GAC12_CAALIMDESSAZ12;GAC12_CAAUTO12;GAC12_CAAUTODESSAZ12;GAC12_CABC12;GAC12_CABCD12;GAC12_CABCDDESSAZ12;GAC12_CABCDESSAZ12;GAC12_CABCND12;GAC12_CABCNDDESSAZ12;GAC12_CABEBDESSAZ12;GAC12_CABI12;GAC12_CABIDESSAZ12;GAC12_CABORR12;GAC12_CABORRDESSAZ12;GAC12_CACOU12;GAC12_CACOUDESSAZ12;GAC12_CAELET12;GAC12_CAELETDESSAZ12;GAC12_CAEQUIP12;GAC12_CAEQUIPDESSAZ12;GAC12_CAFARM12;GAC12_CAFARMDESSAZ12;GAC12_CAFUM12;GAC12_CAFUMDESSAZ12;GAC12_CAIEX12;GAC12_CAIEXDESSAZ12;GAC12_CAIG12;GAC12_CAIGDESSAZ12;GAC12_CAIMPDESSAZ12;GAC12_CAINFO12;GAC12_CAINFODESSAZ12;GAC12_CAIT12;GAC12_CAITDESSAZ12;GAC12_CAMAD12;GAC12_CAMET12;GAC12_CAMETAL12;GAC12_CAMETALDESSAZ12;GAC12_CAMETDESSAZ12;GAC12_CAMIN12;GAC12_CAMINDESSAZ12;GAC12_CAMOV12;GAC12_CAMOVDESSAZ12;GAC12_CAOUT12;GAC12_CAOUTDESSAZ12;GAC12_CAPAPEL12;GAC12_CAPAPELDESSAZ12;GAC12_CAPET12;GAC12_CAPETDESSAZ12;GAC12_CAQUIDESSAZ12;GAC12_CATEXDESSAZ12;GAC12_CAVEST12;GAC12_CAVESTDESSAZ12;GAC12_FBKFCAMIDESSAZ12;FIPE12_FIPE0002Q2;FIPE12_FIPE0118Q2;FIPE12_FIPE0348Q2;FIPE12_FIPE0379Q2;FIPE12_FIPE0482Q2;FIPE12_FIPE0516Q2;FIPE12_FIPE0553Q2;FIPE12_FIPEQ2G12;FIPE12_IPCFIPE12;CNI12_HTRAB12;CNI12_HTRABD12;CNI12_PEEMP12;CNI12_PEEMPD12;CNI12_REMR12;CNI12_RENDR12;CNI12_ICEICA12;CNI12_ICEIEXP12;CNI12_ICEIGER12
2000-01-01;79.4;;;;;;;78.4081;80.0026970302981;1459.63820064;27745.12744713;1198602.0;1303162.0;78.361472688823;91.024355745256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;289197.0;;;;;;;;;18576377.0;67.54;;;9494.43;;81648.51;;;;;;;;;240149.34;;;;;172261.4;;321797.85;;;;208566.7;42799.37;;;;;;;;;;33066.48;3591.99;3.01;29104.0;1425.46;2.65;-3962.48;-0.36;48607.93;2132.58;4.42;26945.6;987.53;2.45;-1145.05;-1.97;;;;;;;;;;92293.3;23.99;1.51;59.05;10.07;2.93;278476344.51;;;;;1099350.8;82.4826759466541;96.6954230084796;41.1912838361968;47.6339195716703;60.1141187489848;35.9464481527516;44.6045980990108;71.1819756155515;70.1056148704902;81.761263272032;73.1046370124209;69.3155520508986;75.6345820688085;75.0126935087827;78.9072498089943;119.533902285153;157.706840821433;47.2996850811757;55.3268372294775;38.715530882083;43.2271899588353;39.2339968703114;56.3245523179499;40.5388762349732;124.22305696432;57.269541188053;59.4007906741467;62.2125017527412;70.2214595349126;;43.638178031986;53.3201241694387;62.7617362711609;71.7819392264746;102.482335022063;70.8285726598952;63.4955626866292;70.9580326348814;77.9598177433516;73.2067198922511;76.7329816818595;65.647081847313;75.5658076348895;30.1160630647339;29.9854277300624;77.8873948843391;79.4582587134975;77.5768525500964;88.2158114641136;75.5863290180752;105.369844634182;72.4761778320821;90.7182809891314;42.1751207323495;;;;;;;;0.4691;180.3469;82.7739563530863;90.2708124803218;89.5011524481083;90.8684839657442;;;;;
2000-02-01;;;;;;;;80.2825;80.520062794523;1400.01600046;26885.14899714;1268978.0;1395497.0;84.6928720886933;95.8319978765893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;287573.0;;;;;;;;;425931.0;67.36;;;9108.96;;79931.86;;;;;;;;;243554.16;;;;;176250.76;;323486.02;;;;223289.9;47286.45;;;;;;;;;;33771.83;3383.04;3.04;29119.71;2549.3;2.62;-4652.12;-0.42;49689.35;5275.21;4.48;27421.57;2893.47;2.47;-2381.74;-2.01;;;;;;;;;;79447.27;23.11;0.89;59.29;11.1;2.94;217079267.38;;;;;1110192.1;80.7870621013176;96.6159277243567;50.5633327679435;48.784564251843;64.483143295476;42.5850971249213;44.1557282881409;71.2434223230429;73.0825883287274;81.891697480538;73.985609049015;72.1992769900691;76.807456786819;78.1097494805331;78.6514993004248;139.98787167841;169.669468993843;50.2043066312705;50.4834539505372;49.5218830869909;47.9281214297911;51.5714733324297;55.4266045904789;151.491771832608;161.976095932416;61.3321625736528;67.0492946826141;66.2340779174688;71.246561163252;;50.0223547811733;53.1639534731288;67.4610909463876;72.5920096184535;104.964874963459;75.5673633662933;66.4227329620355;65.1985216901221;84.3649013678044;73.6973521279993;76.0689527175672;70.3862824123394;74.5185753468385;29.2992757071073;28.5446477618057;75.4353198156816;78.8797182990656;77.2604290603714;88.6553468660224;77.1664592500132;106.770231184687;77.1572400840082;83.553155377326;44.9645722428687;0.5495;-0.5818;0.0512;0.2778;-0.1823;-0.6804;3.7258;0.1789;179.9321;87.3092349007346;91.3746930487955;89.4975069631247;90.8708983373979;;;;;
2000-03-01;;;;;;;;80.4376;80.1831314186234;1294.50937925;28833.30089109;1346106.0;1455637.0;90.3726173164886;92.9527904676781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;286084.0;;;;;;;;;42894691.0;63.21;;;9156.9;;78737.46;;;;;;;;;243187.91;;;;;175758.66;;321925.37;;;;235682.08;56676.47;;;;;;;;;;32883.66;1432.6;2.95;28272.12;1025.66;2.54;-4611.54;-0.41;44906.78;4130.85;4.03;21070.37;-821.17;1.89;-4952.01;-2.14;;;;;;;;;;65281.62;22.79;0.0;58.29;13.17;2.93;199557665.61;;;;;1113969.4;88.7629036504503;98.440758205458;52.8280973919134;50.7166460160229;68.4626916463838;44.5588900986721;46.4441202093671;71.1702684981798;77.9602600693838;81.6638491048838;94.3070774388346;78.2539242840988;76.919796164351;82.6799235684688;79.4936744255686;165.593102001639;165.510124195338;54.188537029084;54.8639297023678;48.6652577703209;48.0369044463102;53.3549015624901;53.8479538065993;222.495909316827;119.254172639786;67.5001279595366;66.2406062583404;70.9201919305481;71.1923048354905;;54.1710182369674;55.4136720640028;71.9836675126093;72.3550663965223;111.127816826234;81.5703652659095;63.5112866395488;62.2962136182596;78.3073012535426;75.9070521629838;75.719090718133;67.9648306649277;75.3929117971212;26.9562680929057;28.0078992339769;82.7794056150958;81.9501001708614;82.3889648852765;88.3362844309433;76.7858128232799;108.563381625175;80.2975086977944;84.944756871181;46.1002282773204;0.3494;-0.9535;1.056;-0.1871;0.0509;-1.7104;0.1053;-0.0417;180.3459;90.1772017095383;91.4483900879398;89.6602171095641;90.7938623448119;;;;;
2000-04-01;81.8;;;;;;;79.856;80.3812170064971;1060.0169;27844.0202;1249781.0;1455754.0;84.8426238553461;94.5167168347748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;291609.0;;;;;;;;;127760.0;63.45;;;9419.57;;84525.15;;;;;;;;;245093.75;;;;;176658.47;;329618.9;;;;232177.76;64681.11;;;;;;;;;;31199.99;1547.16;2.79;26932.71;1309.41;2.41;-4267.28;-0.38;44773.36;3595.75;4.01;20017.33;1426.67;1.79;-2169.08;-2.22;;;;;;;;;;66799.59;21.62;-0.69;53.97;13.77;5.6;204948743.64;;;;;1117606.6;82.8749935925439;98.1267305667187;51.9630927761095;51.6200852411335;63.7003890331658;43.6168838258054;44.6036929338447;70.9009751428727;71.481678525136;81.0803692895291;76.8619600931258;75.4538609937822;79.1723438804593;77.3104607480106;80.7877804192111;148.672798958866;153.463559940832;53.8091563958468;58.8018678518012;45.377505041831;48.4663410382462;54.0146622308921;57.5877111244033;235.562318132722;131.847804079231;60.7215243006232;59.950851199392;67.9277967967186;72.4133166663259;;53.9499920740946;58.8118982939539;69.1175247094298;73.8636168188001;105.189336712871;84.1891495365153;58.3438817193048;60.9968770124446;80.861367789479;74.105424781019;76.840359191391;67.2901468855493;76.6829062910485;30.6287557217902;29.5100741740515;73.9320907925053;76.9021677739873;83.0188411645619;91.5667607287388;80.6626234888435;109.764329180974;79.1408646812776;85.3282008673545;46.5688659332304;0.2169;-0.122;0.7563;0.4198;0.0258;1.5747;0.3159;0.3125;180.5082;87.1927196538185;92.3174574822866;90.2581981630579;90.8816944862513;;;;;
2000-05-01;;;;;;;;80.9112;79.8129687800096;1354.0935;28838.3074;1480989.0;1638495.0;95.062830948698;95.6232696578846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;312232.0;;;;;;;;;27489316.0;64.09;;;9576.32;;85679.32;;;;;;;;;248291.89;;;;;177426.6;;333971.2;;;;251970.37;61265.14;;;;;;;;;;30903.29;1412.32;2.74;26242.96;664.37;2.33;-4660.34;-0.41;45195.97;5443.6;4.01;17307.83;2253.87;1.54;-3189.73;-2.47;;;;;;;;;;60683.37;21.34;0.61;54.54;12.5;5.41;216810125.42;;;;;1127110.5;93.6400545705151;95.279035202324;58.4219071112131;51.4898896128596;72.5846947996692;49.11889845704;44.5790606384084;70.3443403913804;81.5159287520553;80.9657955076796;84.3670649921629;81.3943271228116;78.3639426556781;81.8495767647172;77.2700911400746;176.824182189203;164.174766371259;57.6917431037134;54.8351043424916;49.9954145656766;47.2691152140239;65.4766361048361;57.6946746560607;272.426685711587;153.544953509137;65.2726219623561;66.3726081815872;75.0851098741923;71.636450831303;;65.3631290880211;60.3761033934191;76.9011512629471;73.03179381523;115.947593266596;89.7333954506654;67.7968482974688;63.7604519832029;84.5332984210962;77.6026773627845;74.6527056218369;82.4456980718025;78.7294190292735;29.2900936662012;27.8843130173895;79.8594084245933;81.1395300720847;92.0708194541302;89.1499104078052;77.4419857398207;108.541054392209;84.1942495416108;84.1940748312033;45.1130101517094;-0.0134;-0.7687;-0.035;0.1987;0.4588;1.1067;0.1877;-0.0633;180.5624;92.6028156432917;90.646012726034;90.9755080916849;91.1493042930961;;;;;
2000-06-01;;;;;;;;80.4752;80.1157914215026;1429.0653;27442.0724;1501091.0;1623429.0;92.6704294828512;94.6372990112811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307011.0;;;;;;;;;16959255.0;64.21;;;9582.54;;84720.73;;;;;;;;;249555.32;;;;;178032.96;;334276.05;;;;262445.69;65436.7;;;;;;;;;;30500.77;1076.95;2.68;25588.36;686.55;2.25;-4912.41;-0.43;45956.83;4810.86;4.04;20187.71;3015.23;1.77;-1795.63;-2.26;;;;;;;;;;50338.06;20.9;0.86;54.2;13.19;5.32;213946915.82;;;;;1138049.0;101.407710761185;97.1426365584634;57.9618350666749;53.4204520236636;71.3541668878404;47.3867274619582;47.0809264253662;71.7660137038055;81.2707297853899;81.7170277069213;68.6393677134511;82.0307255513947;80.7177365157454;79.9047983332245;81.0460065927579;158.733199370886;166.409134762726;56.6120461759986;58.1686423190743;50.1442010976539;50.3396935613791;59.3811472915102;56.4493253534433;297.888888674587;179.353262574712;70.1263521268043;67.2924372173489;75.2798701034148;73.7800066985462;;62.3871428419363;61.6777037354768;76.8768381901936;75.3752955992288;110.034207633458;89.7028422400313;66.4803218719811;66.5133240911158;86.7597756999399;75.3313976877718;76.3778449687148;76.898809777764;79.0709589879696;28.1034447390503;27.9400352655239;79.110649950377;81.0244068434174;102.615509160795;95.8799876682523;77.8178643190555;107.271717734408;78.010449510099;83.0771083245216;46.9854703782601;0.2136;-0.3893;0.3754;0.0415;0.9775;1.483;0.0956;0.197;180.8874;91.9236199145918;91.5346213893398;91.340664170886;91.3907347065104;;;;;
2000-07-01;81.6;;;;;;;80.9517;80.975730572117;1304.2169;27692.26523;1510096.0;1642394.0;93.4332860410232;97.8612310329961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;309905.0;;;;;;;;;35759023.0;64.29;;;9659.43;;84162.11;;;;;;;;;251464.24;;;;;179647.63;;335626.34;;;;262674.77;68621.44;;;;;;;;;;30652.3;2292.72;2.66;25523.29;2008.43;2.22;-5129.0;-0.45;44159.73;4136.96;3.84;21723.91;3739.98;1.89;-396.98;-1.95;;;;;;;;;;48835.02;20.6;0.54;54.05;13.78;5.29;212053469.63;;;;;1150228.9;106.259754038882;94.8963507610629;58.5760966580926;57.8521615019836;75.5975057922104;47.7685785421442;50.0356024440076;73.9305329240565;86.8631425302687;82.8495676146697;74.4288152883694;83.2303150016672;80.7286152311645;83.6172019820726;83.3805305268407;149.388104017561;160.060968079169;59.7777726787208;58.9575689773775;48.5772051819287;49.552729507443;68.1039290674311;61.8169098155045;239.158733837939;200.222908696396;66.3540469052501;68.2848404037179;77.2471983872189;74.9385639132047;;65.2323449523119;65.1750622937663;79.0646904552574;76.2532692466081;112.629819861946;91.5471009502537;68.7261116259239;68.0867809073788;88.3149609212;78.2925388353826;77.2150682708725;77.3814031550358;80.2631306768325;31.4533613502862;28.2536157774977;84.0314522002708;82.959756451865;100.576526531082;91.3914432794496;78.8179620680166;114.54163585224;87.1707607648566;85.3355118873648;48.4685793033049;0.0951;0.7446;0.9844;0.5839;0.6586;0.5389;0.1544;0.5104;183.4198;92.128415118527;92.112800795492;91.333737749417;91.4874503536166;;;;;
2000-08-01;;;;;;;;81.8376;80.8092019479377;1329.2485;27818.6849;1540235.0;1723035.0;99.3971501479721;94.6995009450286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310257.0;;;;;;;;;71865997.0;65.25;;;9996.96;;81945.92;;;;;;;;;248935.53;;;;;184608.98;;330881.45;;;;256186.15;72558.3;;;;;;;;;;32144.51;4478.49;2.76;26805.87;4517.21;2.3;-5338.63;-0.46;42777.96;3146.33;3.68;18685.88;-1507.5;1.61;-4653.84;-2.07;;;;;;;;;;50171.44;21.1;0.7;52.78;14.59;4.99;234561128.97;;;;;1163123.4;111.517246774657;93.9516335265895;65.4241893006145;58.2971692580689;81.1456051717184;55.0885307210944;50.3061496397346;73.4372560255453;91.6359652541657;82.4025215405763;79.6411207255532;86.240424284862;80.9579482397768;92.2183671041506;86.2298941799884;170.547813038717;160.455613032215;67.9103905973007;59.9715457415097;56.3042989208682;51.9745506542833;71.5675271172798;64.4382687866382;120.489598834853;173.367844770938;74.7626820386091;70.9103854603622;81.3846733544914;75.3639689334451;;72.8904185890992;69.4116571628141;83.2853135466283;76.6489429320879;114.333750703225;93.0824445553158;70.6039683745266;64.7580078702735;86.0437970327151;83.6195219812015;78.7107892608277;85.859676748183;77.2985859088387;22.9708806413574;23.8256763099537;82.9667685423281;81.7562098993178;98.9726832396855;90.6210775872112;78.8129177467104;108.369775708981;92.2024155203024;82.6927090621077;50.7640692007732;1.2333;2.9838;3.8474;0.7911;0.9978;0.2626;0.0212;1.8747;186.2628;95.7141777991807;92.0818722268396;91.5270699697195;91.7164047930843;;;;;
2000-09-01;;;;;;;;81.2124;80.8029202257124;1008.16393;27501.94293034;1409249.0;1575551.0;97.0269189632042;96.4405412840656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308673.0;;;;;;;;;51271005.0;61.63;;;10246.52;;82171.78;;;;;;;;;249861.52;;;;;188481.61;;332033.3;;;;258952.51;77432.48;;;;;;;;;;33421.11;4207.9;2.85;28363.32;3634.55;2.42;-5057.79;-0.43;43609.56;1762.18;3.72;21351.8;-7.3;1.82;-1769.48;-1.9;;;;;;;;;;49639.07;21.08;0.09;52.62;15.39;4.96;229140220.31;;;;;1172819.2;105.773122102025;96.3993342148969;59.0493007774175;58.6484650246856;77.4842611482486;54.6494521780669;52.6147325683487;72.6041018160707;87.0836480442645;81.3379560197479;75.5565350278365;82.4321112607906;80.4218247598963;85.2717762030028;85.1157115056237;168.890917483003;154.641845007645;60.7088438134173;59.1240572267331;52.9592569552297;52.7096447519834;62.5535405491777;61.0528232393491;76.0833510452538;150.270729341406;73.9032955054801;72.6963314191521;77.0497610961444;74.9499051664956;;70.6527782075186;68.945940361317;78.2063391502098;75.8651641468794;96.1678538851137;87.5888219409585;66.0286660725383;64.8188849297219;86.1806157982199;79.4370170955716;78.2806063808322;78.6538576145402;74.9816424913985;17.6235549410476;18.6049967893554;82.1245521866735;80.6565263350724;92.3715862285001;84.8099576725174;78.2846109251166;107.010118424553;91.1592647188671;83.2626991630308;49.8392338220831;1.2325;0.8255;0.6261;-0.4355;0.9089;0.6409;0.04;0.737;186.7657;91.2587205352069;92.0534057267783;91.6504088783348;91.7909784024937;;;;;
2000-10-01;82.4;;;;;;;81.9383;81.1413839820388;983.22526088;30105.43134044;1522723.0;1570823.0;100.544623059949;98.1688605843541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;312895.0;;;;;;;;;41832363.0;62.69;;;10621.04;;88114.95;;;;;;;;;254166.0;;;;;188053.92;;342280.95;;;;258912.99;79588.11;;;;;;;;;;33107.4;2263.29;2.8;27485.41;1287.23;2.32;-5621.99;-0.47;43102.8;4262.96;3.64;23101.11;5744.26;1.95;1481.3;-1.69;;;;;;;;;;50083.99;21.52;0.73;51.6;15.58;4.69;228113783.34;;;;;1183898.0;112.760400511374;97.7060477771259;57.4922095205685;58.4966513860691;83.3176657549583;55.1556546086776;51.6897371245434;74.9191812789577;94.6679225783968;83.9705180219801;74.9109425820962;86.5518604461168;81.4561564307423;83.7252164864561;79.9905542418;189.826770210995;156.841750963852;63.9812674612317;61.1892443090861;53.1773813860848;49.1929951859536;63.3903616677313;59.4008346220688;74.1167998965032;166.42092799412;70.3428189568304;68.7574876411702;81.2555307708874;75.1631769894026;;76.3425633343889;69.6503039559161;82.9002650352913;76.9508660480977;102.363289609797;95.6098997909892;67.9144831395843;65.3566907801463;93.6080430722886;79.6511362895974;76.6869165923888;84.6606937026077;77.5287436924188;25.68173997964;23.156640710791;87.3689064053696;83.3333360967378;107.134613273836;94.7496031540817;80.2473311867803;104.440112405197;99.9256058517167;84.280735215592;46.6574382741106;0.2127;0.0267;0.2032;0.1534;0.2081;0.4617;0.0942;0.1699;186.7844;93.2092191267297;92.004538924721;91.6499228136704;91.8764027241844;;;;;
